// Created:   16:56:53 05-18-21,,,
,,,
,,,
,,## 05-18-21_04PM_IDCABOT_P4.csv ##,
,,CCC Pos #4,
,,,
,COOLER_DRV,IDCABOT,Error
,,,
, RMS_VAC,RMS_VAC,Volts
16:56:53,4.9791,4.977,0.0021
16:56:56,4.9831,4.9812,0.0019
16:56:58,4.989,4.9874,0.0016
16:57:01,4.9936,4.9917,0.0019
16:57:03,4.9971,4.9952,0.0019
16:57:05,5.0005,4.9986,0.0019
16:57:07,5.0032,5.0013,0.0019
16:57:10,5.007,5.0049,0.0021
16:57:12,5.0097,5.0079,0.0018
16:57:14,5.0122,5.0103,0.0019
16:57:17,5.0144,5.0125,0.0019
16:57:19,5.1194,5.1173,0.0021
16:57:21,5.1229,5.1211,0.0018
16:57:24,5.1259,5.1233,0.0026
16:57:26,5.1296,5.1272,0.0024
16:57:28,5.1318,5.1294,0.0024
16:57:31,5.1345,5.1322,0.0023
16:57:33,5.137,5.1346,0.0024
16:57:35,5.1996,5.1971,0.0025
16:57:38,5.2038,5.2012,0.0026
16:57:40,5.2061,5.2037,0.0024
16:57:42,5.2083,5.2054,0.0029
16:57:45,5.2109,5.2083,0.0026
16:57:47,5.2117,5.2095,0.0022
16:57:49,5.2137,5.2112,0.0025
16:57:52,5.2177,5.2152,0.0025
16:57:54,5.2201,5.2174,0.0027
16:57:56,5.2218,5.2193,0.0025
16:57:59,5.2229,5.2201,0.0028
16:58:01,5.2249,5.2221,0.0028
16:58:03,5.2264,5.2235,0.0029
16:58:06,5.2272,5.2247,0.0025
16:58:08,5.2291,5.2267,0.0024
16:58:10,5.2318,5.2294,0.0024
16:58:13,5.235,5.2325,0.0025
16:58:15,5.2363,5.2336,0.0027
16:58:17,5.2383,5.2358,0.0025
16:58:20,5.2396,5.2369,0.0027
16:58:22,5.2398,5.2373,0.0025
16:58:24,5.2418,5.239,0.0028
16:58:27,5.2428,5.2404,0.0024
16:58:29,5.2437,5.2408,0.0029
16:58:31,5.2466,5.2441,0.0025
16:58:34,5.2488,5.2461,0.0027
16:58:36,5.2496,5.247,0.0026
16:58:38,5.252,5.2495,0.0025
16:58:41,5.2509,5.2489,0.0020
16:58:43,5.2542,5.2516,0.0026
16:58:45,5.2539,5.2514,0.0025
16:58:48,5.1892,5.1865,0.0027
16:58:50,5.1916,5.1893,0.0023
16:58:52,5.1908,5.1887,0.0021
16:58:54,5.1918,5.19,0.0018
16:58:57,5.1943,5.1922,0.0021
16:58:59,5.1957,5.1934,0.0023
16:59:02,5.1973,5.1949,0.0024
16:59:04,5.1992,5.1968,0.0024
16:59:06,5.2003,5.1978,0.0025
16:59:09,5.2011,5.1989,0.0022
16:59:11,5.2033,5.2008,0.0025
16:59:13,5.2037,5.2012,0.0025
16:59:15,5.2058,5.2034,0.0024
16:59:18,5.2062,5.2038,0.0024
16:59:20,5.2073,5.2052,0.0021
16:59:22,5.2088,5.2064,0.0024
16:59:25,5.2104,5.2083,0.0021
16:59:27,5.211,5.2086,0.0024
16:59:29,5.2112,5.2086,0.0026
16:59:32,5.2125,5.2101,0.0024
16:59:34,5.2135,5.2104,0.0031
16:59:36,5.2144,5.2121,0.0023
16:59:39,5.2147,5.2122,0.0025
16:59:41,5.2171,5.2147,0.0024
16:59:43,5.2192,5.2168,0.0024
16:59:46,5.2204,5.2182,0.0022
16:59:48,5.2211,5.219,0.0021
16:59:50,5.2227,5.2205,0.0022
16:59:53,5.2237,5.2213,0.0024
16:59:55,5.2234,5.2209,0.0025
16:59:57,5.224,5.2216,0.0024
17:00:00,5.2245,5.2224,0.0021
17:00:02,5.2255,5.2232,0.0023
17:00:05,5.225,5.2219,0.0031
17:00:07,5.2265,5.2243,0.0022
17:00:09,5.2276,5.2252,0.0024
17:00:12,5.2283,5.2262,0.0021
17:00:14,5.2303,5.2279,0.0024
17:00:16,5.2313,5.229,0.0023
17:00:18,5.2344,5.2324,0.0020
17:00:21,5.2341,5.2316,0.0025
17:00:23,5.2342,5.2317,0.0025
17:00:25,5.2358,5.2335,0.0023
17:00:28,5.236,5.2339,0.0021
17:00:30,5.2357,5.2334,0.0023
17:00:32,5.2359,5.2334,0.0025
17:00:35,5.2352,5.233,0.0022
17:00:37,5.2375,5.2354,0.0021
17:00:39,5.2381,5.2357,0.0024
17:00:42,5.2375,5.2354,0.0021
17:00:44,5.2384,5.2358,0.0026
17:00:46,5.2396,5.2374,0.0022
17:00:49,5.2396,5.2376,0.0020
17:00:51,5.2413,5.2393,0.0020
17:00:53,5.243,5.2411,0.0019
17:00:56,5.2425,5.2404,0.0021
17:00:58,5.2444,5.2423,0.0021
17:01:00,5.2456,5.243,0.0026
17:01:03,5.2447,5.2425,0.0022
17:01:05,5.247,5.2447,0.0023
,,,
,,Average,0.0023
,,Min,0.0016
,,Max,0.0031
